0;0;0;0;land;false;unknown;0
1;202;204;153;land;false;plains;1
2;152;208;231;land;false;plains;1
3;244;78;231;land;false;marsh;1
4;239;233;108;land;false;plains;1
5;202;179;205;land;false;forest;1
6;216;242;206;land;false;forest;1
7;220;146;191;land;false;forest;1
8;49;246;243;land;false;forest;1
9;224;76;222;land;false;forest;1
10;216;218;199;land;false;plains;1
11;107;209;221;land;false;forest;1
12;227;114;162;land;false;forest;1
13;168;226;125;land;false;forest;1
14;237;143;182;land;false;forest;1
15;252;225;227;land;false;forest;1
16;239;202;161;land;false;forest;1
17;254;130;228;land;false;plains;1
18;74;245;245;land;false;forest;1
19;240;211;171;land;false;plains;1
20;208;103;238;land;false;forest;1
21;65;233;219;land;false;plains;1
22;127;235;229;land;true;forest;1
23;159;187;212;land;false;forest;1
24;194;92;245;land;false;forest;1
25;250;71;247;land;false;forest;1
26;120;186;221;land;false;plains;1
27;89;195;254;land;false;forest;1
28;170;176;179;land;false;forest;1
29;168;171;195;land;false;forest;1
30;213;168;172;land;false;plains;1
31;249;130;195;land;false;forest;1
32;167;229;237;land;false;forest;1
33;191;120;247;land;false;forest;1
34;249;209;62;land;false;forest;1
35;41;251;224;land;false;plains;1
36;45;228;247;land;true;forest;1
37;90;178;233;land;false;plains;1
38;48;234;248;land;true;forest;1
39;231;225;197;land;false;forest;1
40;236;91;236;land;false;forest;1
41;208;188;154;land;false;forest;1
42;115;209;188;land;false;forest;1
43;191;210;130;land;false;forest;1
44;247;194;167;land;false;plains;1
45;211;225;87;land;false;forest;1
46;247;158;220;land;false;plains;1
47;235;108;191;land;false;plains;1
48;243;192;181;land;false;plains;1
49;165;182;234;land;false;forest;1
50;83;242;192;land;false;forest;1
51;195;239;178;land;false;plains;1
52;238;189;84;land;false;plains;1
53;201;233;138;land;false;forest;1
54;225;191;95;land;false;forest;1
55;202;192;226;land;false;forest;1
56;226;69;221;land;false;forest;1
57;184;121;250;land;false;forest;1
58;248;233;183;land;false;forest;1
59;213;156;231;land;false;forest;1
60;182;209;194;land;false;forest;1
61;230;164;227;land;false;forest;1
62;198;196;173;land;false;forest;1
63;181;220;137;land;false;forest;1
64;196;115;192;land;false;forest;1
65;240;66;199;land;false;forest;1
66;198;199;241;land;false;forest;1
67;206;51;249;land;false;forest;1
68;158;230;243;land;false;forest;1
69;172;225;248;land;false;forest;1
70;151;212;179;land;false;forest;1
71;90;233;214;land;false;forest;1
72;134;243;153;land;false;plains;1
73;149;235;185;land;false;forest;1
74;176;146;226;land;false;forest;1
75;243;254;151;land;false;plains;1
76;227;188;207;land;false;forest;1
77;213;189;158;land;false;plains;1
78;249;173;140;land;false;forest;1
79;116;182;213;land;false;plains;1
80;236;198;164;land;false;forest;1
81;239;156;197;land;false;forest;1
82;184;167;156;land;false;forest;1
83;103;162;253;land;false;forest;1
84;238;197;237;land;false;forest;1
85;123;185;204;land;false;forest;1
86;227;242;179;land;false;plains;1
87;113;211;234;land;false;plains;1
88;204;210;193;land;false;forest;1
89;84;253;177;land;false;plains;1
90;108;165;241;land;false;forest;1
91;228;179;209;land;false;forest;1
92;134;240;225;land;true;forest;1
93;182;217;253;land;true;forest;1
94;208;203;147;land;false;plains;1
95;219;144;147;land;false;forest;1
96;251;232;32;land;false;plains;1
97;48;251;210;land;false;plains;1
98;157;222;190;land;false;forest;1
99;240;149;180;land;false;plains;1
100;228;242;89;land;false;forest;1
101;170;160;231;land;false;forest;1
102;254;178;201;land;false;forest;1
103;236;227;42;land;false;forest;1
104;147;169;249;land;false;forest;1
105;212;158;248;land;false;forest;1
106;161;145;240;land;false;plains;1
107;120;238;243;land;false;forest;1
108;235;229;165;land;true;forest;1
109;93;227;217;land;false;forest;1
110;204;190;145;land;false;forest;1
111;221;222;84;land;false;plains;1
112;224;213;227;land;false;forest;1
113;92;186;226;land;false;forest;1
114;79;248;215;land;false;forest;1
115;215;245;55;land;false;plains;1
116;102;239;167;land;false;plains;1
117;254;83;216;land;false;plains;1
118;86;180;236;land;false;plains;1
119;195;237;215;land;false;plains;1
120;154;241;244;land;false;forest;1
121;191;211;187;land;false;forest;1
122;252;109;173;land;false;forest;1
123;156;161;247;land;false;forest;1
124;248;243;18;land;false;plains;1
125;234;243;144;land;false;forest;1
126;164;198;172;land;false;forest;1
