311;arms_factory;3266.00;16.60;861.00;6.11;0
311;arms_factory;3145.00;16.60;827.00;2.49;0
311;arms_factory;3199.00;15.50;813.00;5.51;0
311;arms_factory;3124.00;16.35;802.00;0.43;0
311;arms_factory;3211.00;16.10;868.00;4.56;0
311;arms_factory;3232.00;16.10;792.00;0.94;0
311;industrial_complex;3174.00;17.20;840.00;2.50;0
311;industrial_complex;3253.00;14.70;763.00;5.16;0
311;industrial_complex;3129.00;15.50;766.00;3.00;0
311;industrial_complex;3275.00;16.60;875.00;4.21;0
311;industrial_complex;3273.00;13.90;771.00;0.94;0
311;industrial_complex;3213.00;16.10;875.00;5.07;0
311;air_base;3186.00;15.50;766.00;6.28;0
311;supply_node;3177.00;16.90;831.00;3.52;0
311;supply_node;3207.00;16.60;858.00;0.18;0
311;supply_node;3220.00;15.53;815.00;1.66;0
311;supply_node;3175.00;15.25;791.00;5.70;0
311;supply_node;3151.00;18.30;858.00;0.89;0
311;supply_node;3286.00;15.00;841.00;3.83;0
311;supply_node;3160.00;16.10;809.00;0.13;0
311;supply_node;3248.00;15.00;763.00;3.07;0
311;supply_node;3105.00;17.80;852.00;6.00;0
311;supply_node;3236.00;16.23;792.00;2.30;0
311;supply_node;3117.00;16.10;791.00;5.24;0
311;supply_node;3263.00;15.80;840.00;0.43;0
311;supply_node;3149.00;16.75;833.00;4.47;0
311;supply_node;3219.00;15.50;771.00;1.13;0
311;supply_node;3222.00;16.48;839.00;2.61;0
311;supply_node;3127.00;17.20;828.00;0.36;0
311;supply_node;3308.00;13.90;828.00;1.84;0
311;supply_node;3240.00;16.60;859.00;4.78;0
311;supply_node;3265.00;15.00;796.00;2.54;0
311;supply_node;3189.00;16.10;809.00;4.01;0
311;supply_node;3124.00;18.90;861.00;0.67;0
311;supply_node;3259.00;16.60;872.00;3.25;0
311;supply_node;3143.00;15.50;779.00;6.19;0
311;supply_node;3284.00;14.40;810.00;2.84;0
311;supply_node;3198.00;15.38;836.00;5.42;0
311;supply_node;3234.00;16.10;879.00;2.08;0
311;supply_node;3210.00;16.10;879.00;3.56;0
311;supply_node;3296.00;16.10;873.00;1.31;0
311;supply_node;3279.00;16.60;863.00;4.25;0
311;supply_node;3242.00;15.25;836.00;5.73;0
311;supply_node;3105.00;16.60;831.00;3.49;0
311;supply_node;3253.00;15.50;818.00;4.96;0
311;supply_node;3110.00;16.10;809.00;1.62;0
