1;828.00;9.70;1846.00;big
1;638.00;10.15;1801.00;big
2;499.00;9.70;1222.00;big
2;906.00;9.70;1389.00;big
3;228.00;10.60;169.00;big
3;623.00;11.70;230.00;big
4;2263.00;11.40;2354.00;big
4;1695.00;10.00;2239.00;big
5;1120.00;9.70;1940.00;big
5;1052.00;9.70;1965.00;big
6;1386.00;10.00;1996.00;big
6;1400.00;9.70;1651.00;big
7;887.00;9.50;1631.00;big
7;1081.00;9.50;1707.00;big
8;2021.00;9.70;1214.00;big
8;1622.00;10.00;1372.00;big
9;1073.00;9.70;572.00;big
9;1080.00;9.50;607.00;big
10;1520.00;9.70;925.00;big
10;1538.00;9.70;974.00;big
11;1767.00;11.10;1798.00;big
11;2083.00;12.65;1880.00;big
12;2479.00;13.60;1043.00;big
12;2474.00;13.90;1371.00;big
13;2676.00;12.80;827.00;big
13;2935.00;13.90;790.00;big
14;670.00;9.85;2949.00;big
14;1188.00;9.50;2985.00;big
15;2914.00;13.30;225.00;big
15;2183.00;12.80;501.00;big
16;2752.00;9.50;1209.00;big
16;2769.00;9.50;1076.00;big
17;2575.00;13.18;1918.00;big
17;2408.00;12.20;1687.00;big
18;3943.00;12.20;1985.00;big
18;3897.00;10.60;1065.00;big
19;3492.00;17.80;566.00;big
19;3168.00;12.80;605.00;big
20;3292.00;13.90;946.00;big
20;3638.00;10.85;871.00;big
21;3347.00;12.20;1340.00;big
21;3002.00;10.85;1215.00;big
22;3681.00;9.50;1033.00;big
22;3633.00;9.50;1190.00;big
23;3840.00;9.50;989.00;big
23;3967.00;9.50;831.00;big
24;3618.00;9.50;1953.00;big
24;3414.00;9.50;1912.00;big
25;3727.00;9.50;1826.00;big
25;3717.00;9.50;1666.00;big
26;3357.00;9.50;1783.00;big
26;3544.00;9.50;1800.00;big
27;3679.00;9.50;1520.00;big
27;3780.00;9.50;1500.00;big
28;2813.00;12.65;1595.00;big
28;3147.00;11.70;1674.00;big
29;2810.00;13.30;2450.00;big
29;2953.00;15.00;2090.00;big
30;3715.00;10.60;2333.00;big
30;3354.00;11.70;2177.00;big
31;1601.00;9.50;2726.00;big
31;3227.00;9.50;2920.00;big
32;4089.00;9.50;754.00;big
32;4090.00;9.50;2203.00;big
33;3704.00;9.50;1274.00;big
33;3751.00;9.50;1410.00;big
34;3458.00;9.50;1673.00;big
34;3473.00;9.50;1540.00;big
35;3572.00;9.50;1490.00;big
35;3561.00;9.50;1358.00;big
36;379.00;9.50;1533.00;big
36;510.00;9.50;1552.00;big
37;227.00;9.50;2913.00;big
37;148.00;9.50;2536.00;big
38;144.00;9.50;732.00;big
38;212.00;9.50;1781.00;big
39;694.00;9.50;2592.00;big
39;814.00;9.50;2173.00;big
40;983.00;9.50;211.00;big
40;624.00;9.50;533.00;big
41;951.00;9.50;569.00;big
41;613.00;9.50;796.00;big
42;1132.00;9.50;1261.00;big
42;1260.00;9.50;1307.00;big
43;1724.00;9.50;840.00;big
43;1637.00;9.50;943.00;big
44;1487.00;9.50;207.00;big
44;1424.00;9.50;621.00;big
45;1369.00;9.50;1002.00;big
45;1043.00;9.50;945.00;big
